pmse,synth_type,pov_class
3.920668885344956,nopov_bad,nopov
2.2136135146128546,nopov_bad,pov
53.77024705092512,nopov_med,nopov
1.8356124198232822,nopov_med,pov
24.385615286261928,good,nopov
2.4251158629588883,good,pov
31.78739610414939,pov_med,nopov
3.1389410218250946,pov_med,pov
18.793058052572416,pov_bad,nopov
3.4235954474268975,pov_bad,pov
3.4504295528463786,nopov_bad,nopov
1.9775517317324114,nopov_bad,pov
54.17639926176571,nopov_med,nopov
1.81578177261717,nopov_med,pov
23.999329819751193,good,nopov
2.272400956410315,good,pov
23.38276385470587,pov_med,nopov
2.236731363167581,pov_med,pov
22.676884865490024,pov_bad,nopov
3.0374476716575156,pov_bad,pov
3.7425187539934086,nopov_bad,nopov
1.7483016214529268,nopov_bad,pov
65.7191953555951,nopov_med,nopov
1.980622239099112,nopov_med,pov
22.47426469046432,good,nopov
1.977282396051417,good,pov
27.741444092192168,pov_med,nopov
1.7413890010618254,pov_med,pov
24.515298649381133,pov_bad,nopov
3.2778740969636044,pov_bad,pov
3.627725162018602,nopov_bad,nopov
2.154519998024425,nopov_bad,pov
51.399206600231594,nopov_med,nopov
2.0990825047877637,nopov_med,pov
25.212555980755287,good,nopov
2.0513602049008113,good,pov
26.636956572540605,pov_med,nopov
2.123816903714021,pov_med,pov
23.581659733789067,pov_bad,nopov
1.886791452203863,pov_bad,pov
3.604291576376638,nopov_bad,nopov
2.4306815856021746,nopov_bad,pov
71.04236942100223,nopov_med,nopov
2.1756877773576893,nopov_med,pov
26.195563248406494,good,nopov
1.6150699505090096,good,pov
26.010797189945087,pov_med,nopov
2.481531630965143,pov_med,pov
25.256363087433993,pov_bad,nopov
1.8050797589129062,pov_bad,pov
