"","aucs","speckss","synth_type","pov_class"
"1",0.570758418844231,0.0877805884232152,"good","nopov"
"2",0.588395588529605,0.128909712096517,"good","pov"
"3",0.574518182184317,0.102252969736693,"pov_med","nopov"
"4",0.600115314877895,0.129691305106476,"pov_med","pov"
"5",0.567489609769935,0.091511047240199,"pov_bad","nopov"
"6",0.599614917849141,0.190197908887228,"pov_bad","pov"
"7",0.636173573902678,0.206080329297409,"nopov_med","nopov"
"8",0.616358425636776,0.163811321027819,"nopov_med","pov"
"9",0.745545741299282,0.381978850828915,"nopov_bad","nopov"
"10",0.605989405331511,0.167652084757347,"nopov_bad","pov"
"11",0.569100896801119,0.0925096870813533,"good","nopov"
"12",0.615956900532799,0.174818035193651,"good","pov"
"13",0.583590960852602,0.108958291991601,"pov_med","nopov"
"14",0.604734304659035,0.155165437092347,"pov_med","pov"
"15",0.57258618520029,0.101259846278052,"pov_bad","nopov"
"16",0.595525427850564,0.161698635133906,"pov_bad","pov"
"17",0.638704493292379,0.203833506867169,"nopov_med","nopov"
"18",0.57414731135307,0.108408302933992,"nopov_med","pov"
"19",0.745569881849025,0.377395034514659,"nopov_bad","nopov"
"20",0.595184951456311,0.140446601941746,"nopov_bad","pov"
"21",0.575148556568461,0.100599346308496,"good","nopov"
"22",0.603578892371996,0.161951503294133,"good","pov"
"23",0.574798139572687,0.105110149320394,"pov_med","nopov"
"24",0.62295166948211,0.181880526259716,"pov_med","pov"
"25",0.577864155412837,0.100771555045132,"pov_bad","nopov"
"26",0.621909782877722,0.196179465749345,"pov_bad","pov"
"27",0.630240210068728,0.1964411856226,"nopov_med","nopov"
"28",0.619066405462138,0.182991327212836,"nopov_med","pov"
"29",0.732590407496327,0.367970331794653,"nopov_bad","nopov"
"30",0.59165231364323,0.149200881387896,"nopov_bad","pov"
"31",0.575888806235864,0.0960669958321681,"good","nopov"
"32",0.54698833263608,0.0738251289917721,"good","pov"
"33",0.571673457376766,0.104580072306725,"pov_med","nopov"
"34",0.601460276462429,0.132893289328934,"pov_med","pov"
"35",0.575852224244037,0.10947097569905,"pov_bad","nopov"
"36",0.624386728233621,0.187373197415369,"pov_bad","pov"
"37",0.631857737489126,0.191340435510572,"nopov_med","nopov"
"38",0.623228412799773,0.169763729246494,"nopov_med","pov"
"39",0.733926484453507,0.360530132431595,"nopov_bad","nopov"
"40",0.601874624153589,0.150736053887299,"nopov_bad","pov"
"41",0.579102747675367,0.111299036203615,"good","nopov"
"42",0.573307732893407,0.113819778847871,"good","pov"
"43",0.58074257588519,0.100990556453437,"pov_med","nopov"
"44",0.582921290428174,0.117711443803919,"pov_med","pov"
"45",0.577139139780119,0.105240023394402,"pov_bad","nopov"
"46",0.648178625502826,0.242657612055296,"pov_bad","pov"
"47",0.627946180432342,0.194529948325866,"nopov_med","nopov"
"48",0.644975308630691,0.219511437181188,"nopov_med","pov"
"49",0.738490349462677,0.363348451733961,"nopov_bad","nopov"
"50",0.598007126588788,0.147744471383442,"nopov_bad","pov"
